Venue Name *,Region *,Contact First Name *,Contact Last Name *,Contact Phone Number *,Contact Email Address *,Neighborhood *,Specialties (comma-separated),Cuisines (comma-separated),Monday Start Time (HH:MM),Monday End Time (HH:MM),Tuesday Start Time (HH:MM),Tuesday End Time (HH:MM),Wednesday Start Time (HH:MM),Wednesday End Time (HH:MM),Thursday Start Time (HH:MM),Thursday End Time (HH:MM),Friday Start Time (HH:MM),Friday End Time (HH:MM),Saturday Start Time (HH:MM),Saturday End Time (HH:MM),Sunday Start Time (HH:MM),Sunday End Time (HH:MM)
CASA JONDAL,Ibiza,Kevin ,Dash ,17865147601,prima+CASAjONDAL@primavip.co,San José,On the Beach,"Seafood, Mediterranean",,,,,,,,,,,,,,
HANNA,Ibiza,Kevin ,Dash ,17865147601,prima+HANNA@primavip.co,Ibiza Town,Live Music/DJ,"Mediterranean, Japanese, Peruvian",,,,,,,,,,,,,,
El Silencio,Ibiza,Kevin ,Dash ,17865147601,prima+ElSilencio@primavip.co,San José,On the Beach,Mediterranean,,,,,,,,,,,,,,
Es Torrent,Ibiza,Kevin ,Dash ,17865147601,prima+EsTorrent@primavip.co,San José,On the Beach,"Seafood, Spanish",,,,,,,,,,,,,,
Chezz Gerdi,Ibiza,Kevin ,Dash ,17865147601,prima+ChezzGerdi@primavip.co,Formentera,On the Beach,"Mediterranean, Italian",,,,,,,,,,,,,,
Omakase by Walt,Ibiza,Kevin ,Dash ,17865147601,prima+OmakasebyWalt@primavip.co,Ibiza Town,Michelin/Repsol Recognition,Japanese,,,,,,,,,,,,,,
CBBC,Ibiza,Kevin ,Dash ,17865147601,prima+CBBC@primavip.co,San José,On the Beach,"Mediterranean, Japanese",,,,,,,,,,,,,,
Sa Capella,Ibiza,Kevin ,Dash ,17865147601,prima+SaCapella@primavip.co,San Antonio,,"Spanish, Mediterranean",,,,,,,,,,,,,,
Amalur & AMALURINO,Ibiza,Kevin ,Dash ,17865147601,prima+AmalurAMALURINO@primavip.co,Santa Gertrudis,Fine Dining,"Mediterranean, Italian",,,,,,,,,,,,,,
Esmariner,Ibiza,Kevin ,Dash ,17865147601,prima+Esmariner@primavip.co,Ibiza Town,,"Seafood, Mediterranean",,,,,,,,,,,,,,
Salvia (Ca Na Xica),Ibiza,Kevin ,Dash ,17865147601,prima+Salvia@primavip.co,San Juan,Fine Dining,Mediterranean,,,,,,,,,,,,,,
CRAZY PIZZA,Ibiza,Kevin ,Dash ,17865147601,prima+CRAZYPIZZA@primavip.co,Ibiza Town,Live Music/DJ,Italian,,,,,,,,,,,,,,
Nobu Ibiza Bay,Ibiza,Kevin ,Dash ,17865147601,prima+NobuIbizaBay@primavip.co,Ibiza Town,Fine Dining,"Japanese, Peruvian",,,,,,,,,,,,,,
Roto,Ibiza,Kevin ,Dash ,17865147601,prima+Roto@primavip.co,Ibiza Town,Live Music/DJ,Mediterranean,,,,,,,,,,,,,,
Salvaje,Ibiza,Kevin ,Dash ,17865147601,prima+Salvaje@primavip.co,San Antonio,Live Music/DJ,"Japanese, Fusion",,,,,,,,,,,,,,
HOSTAL La Torre,Ibiza,Kevin ,Dash ,17865147601,prima+HOSTALLaTorre@primavip.co,San Antonio,"Sunset view, Live Music/DJ",Mediterranean,,,,,,,,,,,,,,
Es Molí de Sal,Ibiza,Kevin ,Dash ,17865147601,prima+EsMolídeSal@primavip.co,Formentera,On the Beach,"Seafood, Mediterranean",,,,,,,,,,,,,,
Juan y Andrea,Ibiza,Kevin ,Dash ,17865147601,prima+JuanyAndrea@primavip.co,Formentera,On the Beach,"Seafood, Mediterranean",,,,,,,,,,,,,,
Es Codol Foradat,Ibiza,Kevin ,Dash ,17865147601,prima+EsCodolForadat@primavip.co,Formentera,On the Beach,"Seafood, Spanish",,,,,,,,,,,,,,
ALMAR,Ibiza,Kevin ,Dash ,17865147601,prima+ALMAR@primavip.co,Santa Eulalia,On the Beach,Mediterranean,,,,,,,,,,,,,,
Cala Gracioneta,Ibiza,Kevin ,Dash ,17865147601,prima+CalaGracioneta@primavip.co,San Antonio,On the Beach,Mediterranean,,,,,,,,,,,,,,
Casa Maca,Ibiza,Kevin ,Dash ,17865147601,prima+CasaMaca@primavip.co,Ibiza Town,"Sunset view, Farm-to-Table","Mediterranean, Grill",,,,,,,,,,,,,,
Lío Ibiza,Ibiza,Kevin ,Dash ,17865147601,prima+LíoIbiza@primavip.co,Ibiza Town,Live Music/DJ,"Mediterranean, International",,,,,,,,,,,,,,
LADO,Ibiza,Kevin ,Dash ,17865147601,prima+LADO@primavip.co,Ibiza Town,,Spanish,,,,,,,,,,,,,,
Hell`s Kitchen,Ibiza,Kevin ,Dash ,17865147601,prima+HellKitchen@primavip.co,San José,Fine Dining,International,,,,,,,,,,,,,,
ES NAUTIC,Ibiza,Kevin ,Dash ,17865147601,prima+ESNAUTIC@primavip.co,San Antonio,Sunset view,"Seafood, Spanish",,,,,,,,,,,,,,
BLUE MARLIN & JEMANYA,Ibiza,Kevin ,Dash ,17865147601,prima+BLUEMARLINJEMANYA@primavip.co,San José,"On the Beach, Live Music/DJ","Mediterranean, Japanese",,,,,,,,,,,,,,
Sublimotion,Ibiza,Kevin ,Dash ,17865147601,prima+Sublimotion@primavip.co,San José,Fine Dining,International,,,,,,,,,,,,,,
SÉSPARTAR 1,Ibiza,Kevin ,Dash ,17865147601,prima+SESPARTAR@primavip.co,San José,Sunset view,"Seafood, Spanish",,,,,,,,,,,,,,
The View (7Pines),Ibiza,Kevin ,Dash ,17865147601,prima+TheView@primavip.co,San José,Sunset view,"Mediterranean, Asian",,,,,,,,,,,,,,
Cone Club (7Pines),Ibiza,Kevin ,Dash ,17865147601,prima+ConeClub@primavip.co,San José,"Sunset view, Live Music/DJ",Mediterranean,,,,,,,,,,,,,,
MADUNIA,Ibiza,Kevin ,Dash ,17865147601,prima+MADUNIA@primavip.co,San Antonio,Sunset view,"Mediterranean, International",,,,,,,,,,,,,,
JUNTOS FARM,Ibiza,Kevin ,Dash ,17865147601,prima+JUNTOSFARM@primavip.co,San Antonio,Farm-to-Table,Mediterranean,,,,,,,,,,,,,,
La Gaia,Ibiza,Kevin ,Dash ,17865147601,prima+LaGaia@primavip.co,Ibiza Town,Michelin/Repsol Recognition,"Mediterranean, Fusion",,,,,,,,,,,,,,
CIPRIANI,Ibiza,Kevin ,Dash ,17865147601,prima+CIPRIANIIbiza@primavip.co,Ibiza Town,Fine Dining,Italian,,,,,,,,,,,,,,
PACHA & DESTINO,Ibiza,Kevin ,Dash ,17865147601,prima+PACHADESTINO@primavip.co,Ibiza Town,Live Music/DJ,"Mediterranean, Japanese",,,,,,,,,,,,,,
Es Tragón,Ibiza,Kevin ,Dash ,17865147601,prima+EsTragon@primavip.co,San Antonio,Michelin/Repsol Recognition,"Mediterranean, Fusion",,,,,,,,,,,,,,
Can Domingo,Ibiza,Kevin ,Dash ,17865147601,prima+CanDomingo@primavip.co,San José,Farm-to-Table,"Italian, Mediterranean",,,,,,,,,,,,,,
Sabina Clubhouse,Ibiza,Kevin ,Dash ,17865147601,prima+SabinaClubhouse@primavip.co,San José,Fine Dining,"Mediterranean, International",,,,,,,,,,,,,,
Pikes,Ibiza,Kevin ,Dash ,17865147601,prima+Pikes@primavip.co,San Antonio,Live Music/DJ,International,,,,,,,,,,,,,,
Godai,Ibiza,Kevin ,Dash ,17865147601,prima+Godai@primavip.co,San Antonio,,"Japanese, Mediterranean",,,,,,,,,,,,,,
Las Dos Lunas,Ibiza,Kevin ,Dash ,17865147601,prima+LasDosLunas@primavip.co,San Antonio,Fine Dining,"Italian, Mediterranean",,,,,,,,,,,,,,
SA CAPELLA,Ibiza,Kevin ,Dash ,17865147601,prima+SACAPELLA@primavip.co,San Antonio,,"Spanish, Mediterranean",,,,,,,,,,,,,,
CALA DUO,Ibiza,Kevin ,Dash ,17865147601,prima+CALADUO@primavip.co,San José,On the Beach,Mediterranean,,,,,,,,,,,,,,
LA ESCOLLERA,Ibiza,Kevin ,Dash ,17865147601,prima+LAESCOLLERA@primavip.co,San José,On the Beach,"Mediterranean, Spanish",,,,,,,,,,,,,,
NASSAU GRUPO,Ibiza,Kevin ,Dash ,17865147601,prima+NASSAUGRUPO@primavip.co,San José,"On the Beach, Live Music/DJ","Mediterranean, Japanese",,,,,,,,,,,,,,
CLUB NAUTICO,Ibiza,Kevin ,Dash ,17865147601,prima+CLUBNAUTICO@primavip.co,Ibiza Town,,"Seafood, Mediterranean",,,,,,,,,,,,,,
COTTON BEACH,Ibiza,Kevin ,Dash ,17865147601,prima+COTTONBEACH@primavip.co,San José,"On the Beach, Sunset view","Mediterranean, Japanese",,,,,,,,,,,,,,
PICCOLA CUCINA,Ibiza,Kevin ,Dash ,17865147601,prima+PICCOLACUCINA@primavip.co,Ibiza Town,,Italian,,,,,,,,,,,,,,
ES FUMERAL,Ibiza,Kevin ,Dash ,17865147601,prima+ESFUMERAL@primavip.co,Santa Eulalia,On the Beach,"Mediterranean, Spanish",,,,,,,,,,,,,,
ELEMENTS,Ibiza,Kevin ,Dash ,17865147601,prima+ELEMENTS@primavip.co,San Juan,On the Beach,"Mediterranean, Italian",,,,,,,,,,,,,,
LUMBRE,Ibiza,Kevin ,Dash ,17865147601,prima+LUMBRE@primavip.co,Santa Eulalia,,"Steakhouse, Mediterranean",,,,,,,,,,,,,,
CASA PIEDRA,Ibiza,Kevin ,Dash ,17865147601,prima+CASAPIEDRA@primavip.co,Santa Eulalia,,Mediterranean,,,,,,,,,,,,,,
LA OLIVA,Ibiza,Kevin ,Dash ,17865147601,prima+LAOLIVA@primavip.co,Ibiza Town,,"Mediterranean, French",,,,,,,,,,,,,,
THE MAINE,Ibiza,Kevin ,Dash ,17865147601,prima+THeMAINE@primavip.co,San José,Sunset view,"Mediterranean, Steakhouse",,,,,,,,,,,,,,
TEYO AT OKU,Ibiza,Kevin ,Dash ,17865147601,prima+TEYOATOKU@primavip.co,San Antonio,Live Music/DJ,"Japanese, Peruvian",,,,,,,,,,,,,,
TIGRE MORADO,Ibiza,Kevin ,Dash ,17865147601,prima+TIGREMORADO@primavip.co,San Antonio,,"Japanese, Peruvian",,,,,,,,,,,,,,
BRASO,Ibiza,Kevin ,Dash ,17865147601,prima+BRASO@primavip.co,San Antonio,,"Steakhouse, Spanish",,,,,,,,,,,,,,
NOVIKOV,Ibiza,Kevin ,Dash ,17865147601,prima+NOVIKOVibiza@primavip.co,Ibiza Town,Fine Dining,"Japanese, Italian",,,,,,,,,,,,,,
PLAYA SOLEIL,Ibiza,Kevin ,Dash ,17865147601,prima+PLAYASOLEIL@primavip.co,San José,"On the Beach, Live Music/DJ","Mediterranean, Japanese",,,,,,,,,,,,,,
IT IBIZA,Ibiza,Kevin ,Dash ,17865147601,prima+ITIBIZA@primavip.co,Ibiza Town,Live Music/DJ,Italian,,,,,,,,,,,,,,
BESO BEACH,Ibiza,Kevin ,Dash ,17865147601,prima+BESOBEACH@primavip.co,San José,"On the Beach, Live Music/DJ","Mediterranean, Spanish",,,,,,,,,,,,,,
A MI MANERA,Ibiza,Kevin ,Dash ,17865147601,prima+AMIMANERA@primavip.co,San Juan,Farm-to-Table,"Italian, Mediterranean",,,,,,,,,,,,,,
NIKO MONDRIAN,Ibiza,Kevin ,Dash ,17865147601,prima+NIKOMONDRIAN@primavip.co,Santa Eulalia,Fine Dining,Japanese,,,,,,,,,,,,,,
ZITYA,Ibiza,Kevin ,Dash ,17865147601,prima+ZITYA@primavip.co,San José,,"Greek, Middle Eastern",,,,,,,,,,,,,,
